                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.0505,                0.69015,                 1.0071,                0.65624,                0.70478,                0.64971,                0.30891,                 1.9813,                 1.0827,                  1.617,              0.0010693,              0.0010693,              0.0010693
                     76,                 1.0552,                0.68594,                 1.0059,                0.68934,                0.63614,                0.64155,                0.29659,                 1.9484,                 1.1689,                   1.59,              0.0010669,              0.0010669,              0.0010669
                     77,                  1.055,                0.69158,                 1.0003,                0.76197,                0.69725,                0.71856,                0.31499,                 1.8794,                 1.0697,                 1.5527,              0.0010644,              0.0010644,              0.0010644
                     78,                  1.044,                0.66912,                 0.9979,                0.66545,                 0.8083,                0.75204,                0.35279,                 1.8599,                 1.0126,                 1.5094,              0.0010619,              0.0010619,              0.0010619
                     79,                  1.023,                0.65254,                0.99848,                0.77381,                0.67079,                0.75257,                 0.3612,                   1.81,                 0.9861,                 1.5005,              0.0010594,              0.0010594,              0.0010594
                     80,                 1.0687,                0.67963,                 1.0097,                0.77392,                0.70691,                0.71955,                0.32874,                 1.8892,                 1.0782,                  1.547,               0.001057,               0.001057,               0.001057
                     81,                 1.0314,                0.66577,                0.99548,                0.65839,                0.67037,                0.66431,                0.33205,                 1.7635,                 1.0713,                 1.4452,              0.0010545,              0.0010545,              0.0010545
                     82,                 1.0486,                0.67814,                 1.0058,                0.67121,                 0.7437,                0.68847,                0.34975,                 1.7945,                   1.04,                 1.4694,               0.001052,               0.001052,               0.001052
                     83,                0.99808,                0.63427,                0.99416,                0.72634,                0.68487,                0.71735,                0.33326,                 1.8252,                0.99286,                 1.4843,              0.0010495,              0.0010495,              0.0010495
                     84,                 1.0285,                0.65933,                0.99939,                0.71364,                0.77872,                0.75676,                0.37314,                 1.7956,                0.98124,                 1.4142,               0.001047,               0.001047,               0.001047
                     85,                  1.003,                0.65463,                0.99336,                0.73581,                 0.6864,                0.71917,                0.34729,                 1.8022,                 1.0745,                 1.4875,              0.0010446,              0.0010446,              0.0010446
                     86,                 1.0242,                0.64576,                0.98723,                0.71429,                0.61212,                0.65125,                0.30365,                 1.8912,                 1.1144,                 1.5296,              0.0010421,              0.0010421,              0.0010421
                     87,                 1.0073,                0.65135,                0.99421,                0.83859,                0.65238,                0.76199,                0.35551,                 1.8665,                 1.0783,                 1.5511,              0.0010396,              0.0010396,              0.0010396
                     88,                 1.0149,                0.65983,                 0.9959,                0.60337,                 0.6695,                0.68096,                0.32706,                 1.8339,                 1.0965,                 1.4826,              0.0010372,              0.0010372,              0.0010372
                     89,                 1.0159,                 0.6447,                0.98427,                0.70014,                0.69661,                0.70766,                0.34359,                 1.8352,                 1.0263,                 1.5085,              0.0010347,              0.0010347,              0.0010347
                     90,                 1.0015,                0.64331,                0.98894,                0.72321,                0.59447,                0.63721,                0.27937,                 2.0229,                  1.206,                 1.6852,              0.0010322,              0.0010322,              0.0010322
                     91,                 1.0197,                0.65768,                0.98969,                0.65774,                0.72833,                 0.7001,                0.31283,                 1.8882,                 1.0165,                 1.5817,              0.0010297,              0.0010297,              0.0010297
                     92,                 1.0091,                0.64922,                0.99198,                  0.678,                0.76822,                0.74788,                0.36417,                 1.7199,                0.98565,                 1.4327,              0.0010273,              0.0010273,              0.0010273
                     93,                 1.0055,                0.65511,                0.98633,                0.75629,                0.79994,                0.77608,                0.37891,                 1.7407,                  0.954,                 1.4346,              0.0010248,              0.0010248,              0.0010248
                     94,                 1.0125,                0.64199,                0.97559,                0.72579,                0.64716,                0.71619,                 0.3597,                 1.7403,                0.95657,                 1.4554,              0.0010223,              0.0010223,              0.0010223
                     95,                0.99792,                 0.6333,                0.98267,                0.76581,                 0.7061,                0.76808,                0.35654,                 1.8324,                0.99348,                 1.5118,              0.0010198,              0.0010198,              0.0010198
                     96,                 1.0168,                0.64244,                0.99362,                0.79963,                0.67365,                0.73742,                0.37887,                 1.7104,                0.97315,                 1.4019,              0.0010173,              0.0010173,              0.0010173
                     97,                0.99546,                0.64331,                0.98331,                0.67769,                0.58043,                0.63672,                0.31273,                 1.7567,                 1.1393,                 1.4581,              0.0010149,              0.0010149,              0.0010149
                     98,                0.99099,                0.62615,                0.97332,                0.67588,                 0.6272,                0.65382,                0.30965,                 1.7882,                 1.0156,                 1.4669,              0.0010124,              0.0010124,              0.0010124
                     99,                0.95509,                  0.604,                0.96203,                0.64219,                0.69933,                0.66344,                0.32135,                 1.7858,                 1.0576,                 1.4652,              0.0010099,              0.0010099,              0.0010099
                    100,                 0.9697,                0.61081,                0.96914,                0.67621,                0.72108,                0.74596,                0.36398,                 1.7576,                 1.0102,                 1.4515,              0.0010075,              0.0010075,              0.0010075
                    101,                 0.9711,                0.61283,                0.97286,                0.72419,                0.70633,                0.74077,                0.35945,                 1.7563,                 1.0351,                  1.451,               0.001005,               0.001005,               0.001005
                    102,                0.97674,                0.61319,                0.97399,                0.75017,                0.66725,                0.72796,                0.35827,                 1.7717,                 1.1045,                 1.4824,              0.0010025,              0.0010025,              0.0010025
                    103,                0.95739,                0.60048,                0.96733,                0.77846,                   0.77,                0.77399,                0.35565,                 1.7604,                 1.0006,                 1.4638,                  0.001,                  0.001,                  0.001
                    104,                0.98324,                0.61985,                0.98121,                0.79377,                0.74551,                0.78625,                0.38162,                 1.7285,                0.99401,                 1.4486,             0.00099755,             0.00099755,             0.00099755
                    105,                0.96076,                0.60076,                0.97306,                0.72944,                0.69632,                0.74597,                0.36578,                 1.7815,                 1.0441,                 1.5038,             0.00099507,             0.00099507,             0.00099507
                    106,                0.97486,                0.60785,                0.97076,                 0.7606,                0.72201,                0.74979,                0.35322,                 1.8399,                 1.0087,                 1.4936,              0.0009926,              0.0009926,              0.0009926
                    107,                0.95394,                0.60095,                0.96422,                0.78876,                0.67195,                0.69373,                0.34652,                  1.912,                 1.0158,                 1.5373,             0.00099013,             0.00099013,             0.00099013
                    108,                0.97789,                0.60761,                0.97266,                0.66126,                0.66756,                0.67351,                0.33046,                 1.8883,                 1.0169,                 1.5172,             0.00098765,             0.00098765,             0.00098765
                    109,                0.96419,                0.60228,                 0.9692,                0.67854,                 0.7422,                0.69253,                0.33253,                 1.7986,                 1.0352,                 1.4897,             0.00098518,             0.00098518,             0.00098518
                    110,                0.96494,                 0.5922,                0.96286,                0.69781,                0.68626,                0.64827,                0.32359,                 1.8112,                 1.1071,                 1.4871,              0.0009827,              0.0009827,              0.0009827
                    111,                0.95721,                0.59909,                0.96666,                0.76266,                0.71357,                0.75156,                0.35585,                   1.73,                0.97127,                  1.429,             0.00098022,             0.00098022,             0.00098022
                    112,                0.93781,                 0.5835,                0.96655,                0.75812,                0.71172,                0.78125,                0.38749,                  1.704,                0.92296,                 1.4118,             0.00097775,             0.00097775,             0.00097775
                    113,                0.93208,                0.58534,                0.96175,                0.69767,                0.69616,                0.74671,                0.37116,                 1.6853,                 1.0302,                  1.418,             0.00097528,             0.00097528,             0.00097528
                    114,                0.92517,                0.57336,                0.95815,                 0.6577,                 0.7391,                0.74338,                0.34714,                 1.7366,                0.99253,                 1.4446,              0.0009728,              0.0009728,              0.0009728
                    115,                0.94275,                0.58917,                0.95693,                 0.6422,                 0.7527,                 0.7091,                0.34144,                 1.7911,                 1.0256,                  1.473,             0.00097033,             0.00097033,             0.00097033
                    116,                0.93341,                0.58903,                0.95841,                0.65909,                0.76615,                0.71217,                0.36142,                 1.7198,                 1.0354,                 1.4446,             0.00096785,             0.00096785,             0.00096785
                    117,                0.93254,                0.59637,                 0.9646,                 0.7583,                0.69337,                0.74907,                0.36222,                 1.7332,                0.98628,                 1.4505,             0.00096537,             0.00096537,             0.00096537
                    118,                0.93625,                 0.5845,                0.96287,                0.75632,                0.70161,                0.72984,                0.35484,                 1.7079,                 1.0238,                 1.4773,              0.0009629,              0.0009629,              0.0009629
                    119,                0.93414,                0.58672,                0.95627,                0.76253,                0.69694,                0.69246,                0.33812,                 1.7206,                 1.0239,                 1.4457,             0.00096043,             0.00096043,             0.00096043
                    120,                0.92322,                0.59011,                0.95829,                0.79702,                0.70451,                0.70984,                0.34412,                 1.7311,                 1.1228,                 1.4551,             0.00095795,             0.00095795,             0.00095795
                    121,                0.93474,                0.57705,                0.95526,                 0.7129,                0.69857,                0.70903,                0.33656,                 1.7414,                 1.1547,                 1.4453,             0.00095548,             0.00095548,             0.00095548
                    122,                0.90622,                0.57134,                0.94953,                0.69762,                0.67657,                0.69965,                0.34761,                 1.7459,                 1.0344,                  1.497,               0.000953,               0.000953,               0.000953
                    123,                0.93668,                0.58769,                0.95761,                0.70362,                0.67192,                0.64516,                0.32645,                 1.7316,                 1.0406,                 1.4384,             0.00095053,             0.00095053,             0.00095053
